# TC	P MPa	Mass g		SiO2	TiO2	Al2O3	Fe2O3	Cr2O3	FeO	MgO	CaO	Na2O	K2O	P2O5	H2O
993.00	100.00	12.25		54.26	0.75	8.06	3.51	0.00	17.97	0.64	4.68	7.64	0.20	0.65	1.63
992.00	100.00	12.18		54.31	0.74	8.02	3.52	0.00	17.95	0.62	4.67	7.66	0.20	0.66	1.64
991.00	100.00	12.12		54.35	0.73	7.99	3.54	0.00	17.93	0.61	4.66	7.68	0.20	0.66	1.65
990.00	100.00	12.05		54.39	0.72	7.95	3.56	0.00	17.91	0.59	4.65	7.70	0.21	0.66	1.66
989.00	100.00	11.99		54.43	0.71	7.91	3.57	0.00	17.89	0.58	4.64	7.72	0.21	0.67	1.67
988.00	100.00	11.92		54.47	0.71	7.88	3.59	0.00	17.87	0.56	4.63	7.74	0.21	0.67	1.68
987.00	100.00	11.86		54.52	0.70	7.84	3.60	0.00	17.84	0.55	4.62	7.76	0.21	0.67	1.69
986.00	100.00	11.80		54.56	0.69	7.80	3.62	0.00	17.82	0.53	4.60	7.78	0.21	0.68	1.70
985.00	100.00	11.73		54.60	0.69	7.77	3.64	0.00	17.80	0.52	4.59	7.80	0.21	0.68	1.70
984.00	100.00	11.67		54.64	0.68	7.73	3.65	0.00	17.77	0.51	4.58	7.82	0.21	0.69	1.71
983.00	100.00	11.61		54.69	0.67	7.70	3.67	0.00	17.75	0.49	4.57	7.84	0.21	0.69	1.72
982.00	100.00	11.55		54.73	0.67	7.66	3.68	0.00	17.72	0.48	4.56	7.87	0.21	0.69	1.73
981.00	100.00	11.49		54.77	0.66	7.62	3.70	0.00	17.69	0.47	4.55	7.89	0.21	0.70	1.74
980.00	100.00	11.43		54.81	0.65	7.59	3.72	0.00	17.67	0.45	4.54	7.91	0.21	0.70	1.75
979.00	100.00	11.38		54.86	0.64	7.55	3.73	0.00	17.64	0.44	4.53	7.93	0.22	0.70	1.76
978.00	100.00	11.32		54.90	0.64	7.52	3.75	0.00	17.61	0.43	4.52	7.95	0.22	0.71	1.77
977.00	100.00	11.26		54.94	0.63	7.48	3.76	0.00	17.58	0.42	4.51	7.97	0.22	0.71	1.78
976.00	100.00	11.20		54.98	0.63	7.45	3.78	0.00	17.56	0.40	4.50	7.99	0.22	0.71	1.79
975.00	100.00	11.15		55.03	0.62	7.41	3.79	0.00	17.53	0.39	4.49	8.01	0.22	0.72	1.79
974.00	100.00	11.09		55.07	0.61	7.38	3.81	0.00	17.50	0.38	4.48	8.03	0.22	0.72	1.80
973.00	100.00	11.04		55.11	0.61	7.34	3.83	0.00	17.47	0.37	4.47	8.05	0.22	0.72	1.81
972.00	100.00	10.98		55.15	0.60	7.31	3.84	0.00	17.44	0.36	4.46	8.07	0.22	0.73	1.82
971.00	100.00	10.93		55.20	0.59	7.27	3.86	0.00	17.41	0.35	4.45	8.09	0.22	0.73	1.83
970.00	100.00	10.87		55.24	0.59	7.24	3.87	0.00	17.38	0.34	4.44	8.11	0.22	0.74	1.84
969.00	100.00	10.82		55.28	0.58	7.20	3.89	0.00	17.34	0.33	4.43	8.13	0.22	0.74	1.85
968.00	100.00	10.77		55.32	0.58	7.17	3.90	0.00	17.31	0.31	4.42	8.15	0.22	0.74	1.86
967.00	100.00	10.72		55.37	0.57	7.14	3.92	0.00	17.28	0.30	4.41	8.17	0.23	0.75	1.87
966.00	100.00	10.66		55.41	0.56	7.10	3.94	0.00	17.25	0.29	4.40	8.19	0.23	0.75	1.88
965.00	100.00	10.61		55.45	0.56	7.07	3.95	0.00	17.21	0.28	4.39	8.21	0.23	0.75	1.88
964.00	100.00	10.56		55.49	0.55	7.03	3.97	0.00	17.18	0.28	4.38	8.23	0.23	0.76	1.89
963.00	100.00	10.51		55.54	0.55	7.00	3.98	0.00	17.14	0.27	4.37	8.25	0.23	0.76	1.90
962.00	100.00	10.46		55.58	0.54	6.97	4.00	0.00	17.11	0.26	4.36	8.27	0.23	0.76	1.91
961.00	100.00	10.41		55.62	0.54	6.93	4.01	0.00	17.08	0.25	4.36	8.30	0.23	0.77	1.92
960.00	100.00	10.36		55.67	0.53	6.90	4.03	0.00	17.04	0.24	4.35	8.32	0.23	0.77	1.93
959.00	100.00	10.31		55.71	0.53	6.87	4.04	0.00	17.00	0.23	4.34	8.34	0.23	0.78	1.94
958.00	100.00	10.27		55.75	0.52	6.83	4.06	0.00	16.97	0.22	4.33	8.36	0.23	0.78	1.95
957.00	100.00	10.22		55.79	0.51	6.80	4.08	0.00	16.93	0.21	4.32	8.38	0.23	0.78	1.96
956.00	100.00	10.17		55.84	0.51	6.77	4.09	0.00	16.89	0.21	4.31	8.40	0.24	0.79	1.97
955.00	100.00	10.12		55.88	0.50	6.74	4.11	0.00	16.86	0.20	4.30	8.42	0.24	0.79	1.98
954.00	100.00	10.08		55.92	0.50	6.70	4.12	0.00	16.82	0.19	4.29	8.44	0.24	0.79	1.98
953.00	100.00	10.03		55.97	0.49	6.67	4.14	0.00	16.78	0.18	4.28	8.46	0.24	0.80	1.99
952.00	100.00	9.99		56.01	0.49	6.64	4.15	0.00	16.74	0.17	4.27	8.48	0.24	0.80	2.00
951.00	100.00	9.94		56.05	0.48	6.61	4.17	0.00	16.71	0.17	4.26	8.50	0.24	0.80	2.01
950.00	100.00	9.90		56.09	0.48	6.57	4.18	0.00	16.67	0.16	4.25	8.52	0.24	0.81	2.02
949.00	100.00	9.85		56.14	0.47	6.54	4.20	0.00	16.63	0.15	4.25	8.54	0.24	0.81	2.03
948.00	100.00	9.81		56.18	0.47	6.51	4.21	0.00	16.59	0.15	4.24	8.56	0.24	0.82	2.04
947.00	100.00	9.77		56.22	0.46	6.48	4.23	0.00	16.55	0.14	4.23	8.58	0.24	0.82	2.05
946.00	100.00	9.72		56.26	0.46	6.45	4.24	0.00	16.51	0.13	4.22	8.60	0.24	0.82	2.06
945.00	100.00	9.68		56.31	0.45	6.42	4.26	0.00	16.47	0.13	4.21	8.62	0.24	0.83	2.07
944.00	100.00	9.64		56.35	0.45	6.39	4.27	0.00	16.43	0.12	4.20	8.64	0.25	0.83	2.08
943.00	100.00	9.59		56.39	0.45	6.35	4.29	0.00	16.39	0.12	4.19	8.66	0.25	0.83	2.08
942.00	100.00	9.55		56.44	0.44	6.32	4.30	0.00	16.34	0.11	4.18	8.68	0.25	0.84	2.09
941.00	100.00	9.51		56.48	0.44	6.29	4.32	0.00	16.30	0.10	4.18	8.70	0.25	0.84	2.10
940.00	100.00	9.47		56.52	0.43	6.26	4.33	0.00	16.26	0.10	4.17	8.72	0.25	0.84	2.11
939.00	100.00	9.43		56.56	0.43	6.23	4.35	0.00	16.22	0.09	4.16	8.74	0.25	0.85	2.12
938.00	100.00	9.39		56.61	0.42	6.20	4.36	0.00	16.18	0.09	4.15	8.76	0.25	0.85	2.13
937.00	100.00	9.35		56.65	0.42	6.17	4.38	0.00	16.13	0.08	4.14	8.78	0.25	0.86	2.14
936.00	100.00	9.31		56.69	0.41	6.14	4.39	0.00	16.09	0.08	4.13	8.80	0.25	0.86	2.15
935.00	100.00	9.27		56.74	0.41	6.11	4.41	0.00	16.05	0.07	4.12	8.82	0.25	0.86	2.16
934.00	100.00	9.23		56.78	0.41	6.08	4.42	0.00	16.00	0.07	4.11	8.84	0.25	0.87	2.17
933.00	100.00	9.19		56.82	0.40	6.05	4.44	0.00	15.96	0.07	4.11	8.86	0.25	0.87	2.18
932.00	100.00	9.15		56.86	0.40	6.02	4.45	0.00	15.91	0.06	4.10	8.88	0.26	0.87	2.18
931.00	100.00	9.12		56.91	0.39	5.99	4.46	0.00	15.87	0.06	4.09	8.90	0.26	0.88	2.19
930.00	100.00	9.08		56.95	0.39	5.96	4.48	0.00	15.83	0.05	4.08	8.92	0.26	0.88	2.20
929.00	100.00	9.04		56.99	0.39	5.93	4.49	0.00	15.78	0.05	4.07	8.94	0.26	0.88	2.21
928.00	100.00	9.00		57.04	0.38	5.90	4.51	0.00	15.74	0.05	4.06	8.96	0.26	0.89	2.22
927.00	100.00	8.97		57.08	0.38	5.87	4.52	0.00	15.69	0.04	4.05	8.98	0.26	0.89	2.23
926.00	100.00	8.93		57.12	0.37	5.84	4.54	0.00	15.64	0.04	4.05	9.00	0.26	0.90	2.24
925.00	100.00	8.89		57.16	0.37	5.81	4.55	0.00	15.60	0.04	4.04	9.02	0.26	0.90	2.25
924.00	100.00	8.86		57.21	0.37	5.78	4.56	0.00	15.55	0.03	4.03	9.04	0.26	0.90	2.26
923.00	100.00	8.82		57.25	0.36	5.76	4.58	0.00	15.51	0.03	4.02	9.06	0.26	0.91	2.27
922.00	100.00	8.79		57.29	0.36	5.73	4.59	0.00	15.46	0.03	4.01	9.08	0.26	0.91	2.28
921.00	100.00	8.75		57.34	0.35	5.70	4.61	0.00	15.41	0.02	4.00	9.10	0.26	0.91	2.29
920.00	100.00	8.72		57.38	0.35	5.67	4.62	0.00	15.36	0.02	3.99	9.12	0.27	0.92	2.29
919.00	100.00	8.68		57.42	0.35	5.64	4.63	0.00	15.32	0.02	3.99	9.14	0.27	0.92	2.30
918.00	100.00	8.65		57.46	0.34	5.61	4.65	0.00	15.27	0.02	3.98	9.16	0.27	0.92	2.31
917.00	100.00	8.61		57.51	0.34	5.58	4.66	0.00	15.22	0.02	3.97	9.18	0.27	0.93	2.32
916.00	100.00	8.58		57.55	0.34	5.56	4.68	0.00	15.17	0.01	3.96	9.20	0.27	0.93	2.33
915.00	100.00	8.55		57.59	0.33	5.53	4.69	0.00	15.12	0.01	3.95	9.22	0.27	0.94	2.34
914.00	100.00	8.51		57.64	0.33	5.50	4.70	0.00	15.08	0.01	3.94	9.24	0.27	0.94	2.35
913.00	100.00	8.48		57.68	0.33	5.47	4.72	0.00	15.03	0.01	3.94	9.26	0.27	0.94	2.36
912.00	100.00	8.45		57.72	0.32	5.45	4.73	0.00	14.98	0.01	3.93	9.28	0.27	0.95	2.37
911.00	100.00	8.42		57.77	0.32	5.42	4.74	0.00	14.93	0.01	3.92	9.30	0.27	0.95	2.38
910.00	100.00	8.38		57.81	0.32	5.39	4.76	0.00	14.88	0.01	3.91	9.32	0.27	0.95	2.39
909.00	100.00	8.35		57.85	0.31	5.36	4.77	0.00	14.83	0.00	3.90	9.34	0.27	0.96	2.39
908.00	100.00	8.32		57.90	0.31	5.34	4.78	0.00	14.78	0.00	3.89	9.36	0.27	0.96	2.40
907.00	100.00	8.29		57.94	0.31	5.31	4.80	0.00	14.73	0.00	3.88	9.38	0.28	0.97	2.41
906.00	100.00	8.26		57.98	0.30	5.28	4.81	0.00	14.67	0.00	3.88	9.40	0.28	0.97	2.42
905.00	100.00	8.23		58.03	0.30	5.26	4.82	0.00	14.62	0.00	3.87	9.42	0.28	0.97	2.43
904.00	100.00	8.19		58.07	0.30	5.23	4.84	0.00	14.57	0.00	3.86	9.44	0.28	0.98	2.44
903.00	100.00	8.16		58.12	0.29	5.20	4.85	0.00	14.51	0.00	3.85	9.46	0.28	0.98	2.45
902.00	100.00	8.13		58.16	0.29	5.18	4.86	0.00	14.46	0.00	3.84	9.48	0.28	0.98	2.46
901.00	100.00	8.10		58.21	0.29	5.15	4.88	0.00	14.40	0.00	3.83	9.51	0.28	0.99	2.47
900.00	100.00	8.08		58.23	0.28	5.13	4.88	0.00	14.41	0.00	3.81	9.52	0.28	0.99	2.48
899.00	100.00	7.96		58.81	0.27	5.20	4.59	0.00	13.80	0.00	3.86	9.66	0.29	1.00	2.51
898.00	100.00	7.96		58.81	0.27	5.20	4.59	0.00	13.80	0.00	3.86	9.66	0.29	1.00	2.51
897.00	100.00	7.96		58.81	0.27	5.20	4.59	0.00	13.80	0.00	3.86	9.66	0.29	1.00	2.51
896.00	100.00	7.95		58.92	0.27	5.21	4.47	0.00	13.77	0.00	3.87	9.68	0.29	1.01	2.52
895.00	100.00	7.73		59.72	0.28	5.17	4.11	0.00	12.96	0.00	3.94	9.89	0.29	1.04	2.59
894.00	100.00	7.66		59.99	0.28	5.17	3.98	0.00	12.69	0.00	3.96	9.96	0.30	1.04	2.61
893.00	100.00	7.60		60.24	0.29	5.17	3.87	0.00	12.45	0.00	3.98	10.02	0.30	1.05	2.63
892.00	100.00	7.54		60.46	0.29	5.16	3.77	0.00	12.23	0.00	4.00	10.08	0.30	1.06	2.65
891.00	100.00	7.49		60.66	0.29	5.15	3.68	0.00	12.02	0.00	4.02	10.13	0.30	1.07	2.67
890.00	100.00	7.44		60.85	0.29	5.14	3.60	0.00	11.83	0.00	4.03	10.18	0.30	1.07	2.69
889.00	100.00	7.39		61.04	0.29	5.12	3.52	0.00	11.65	0.00	4.05	10.23	0.30	1.08	2.70
888.00	100.00	7.35		61.21	0.30	5.11	3.45	0.00	11.47	0.00	4.06	10.28	0.31	1.09	2.72
887.00	100.00	7.31		61.37	0.30	5.09	3.39	0.00	11.31	0.00	4.08	10.33	0.31	1.10	2.74
886.00	100.00	7.26		61.53	0.30	5.07	3.33	0.00	11.15	0.00	4.09	10.37	0.31	1.10	2.75
885.00	100.00	7.22		61.68	0.30	5.05	3.27	0.00	11.00	0.00	4.10	10.41	0.31	1.11	2.77
884.00	100.00	7.18		61.82	0.30	5.04	3.21	0.00	10.85	0.00	4.11	10.45	0.31	1.11	2.78
883.00	100.00	7.15		61.96	0.31	5.02	3.16	0.00	10.71	0.00	4.12	10.49	0.31	1.12	2.80
882.00	100.00	7.11		62.10	0.31	4.99	3.11	0.00	10.57	0.00	4.13	10.53	0.32	1.13	2.81
881.00	100.00	7.07		62.23	0.31	4.97	3.06	0.00	10.44	0.00	4.15	10.57	0.32	1.13	2.83
880.00	100.00	7.04		62.36	0.31	4.95	3.01	0.00	10.31	0.00	4.16	10.60	0.32	1.14	2.84
879.00	100.00	7.00		62.48	0.31	4.93	2.97	0.00	10.19	0.00	4.17	10.64	0.32	1.14	2.86
878.00	100.00	6.97		62.60	0.31	4.91	2.93	0.00	10.06	0.00	4.17	10.67	0.32	1.15	2.87
877.00	100.00	6.94		62.72	0.31	4.88	2.89	0.00	9.94	0.00	4.18	10.71	0.32	1.15	2.88
876.00	100.00	6.90		62.84	0.32	4.86	2.85	0.00	9.83	0.00	4.19	10.74	0.32	1.16	2.90
875.00	100.00	6.87		62.95	0.32	4.84	2.81	0.00	9.71	0.00	4.20	10.77	0.32	1.16	2.91
874.00	100.00	6.84		63.06	0.32	4.81	2.77	0.00	9.60	0.00	4.21	10.81	0.33	1.17	2.92
873.00	100.00	6.81		63.17	0.32	4.79	2.74	0.00	9.49	0.00	4.22	10.84	0.33	1.17	2.94
872.00	100.00	6.78		63.27	0.32	4.76	2.70	0.00	9.39	0.00	4.23	10.87	0.33	1.18	2.95
871.00	100.00	6.75		63.38	0.32	4.74	2.67	0.00	9.28	0.00	4.24	10.90	0.33	1.18	2.96
870.00	100.00	6.73		63.48	0.32	4.72	2.64	0.00	9.18	0.00	4.24	10.93	0.33	1.19	2.97
869.00	100.00	6.70		63.58	0.33	4.69	2.61	0.00	9.08	0.00	4.25	10.96	0.33	1.19	2.99
868.00	100.00	6.67		63.67	0.33	4.67	2.57	0.00	8.98	0.00	4.26	10.99	0.33	1.20	3.00
867.00	100.00	6.64		63.77	0.33	4.64	2.54	0.00	8.88	0.00	4.27	11.02	0.33	1.20	3.01
866.00	100.00	6.64		63.77	0.33	4.64	2.54	0.00	8.88	0.00	4.27	11.02	0.33	1.20	3.01
865.00	100.00	6.59		63.96	0.33	4.59	2.49	0.00	8.70	0.00	4.28	11.07	0.34	1.21	3.03
864.00	100.00	6.57		64.05	0.33	4.57	2.46	0.00	8.60	0.00	4.29	11.10	0.34	1.22	3.05
863.00	100.00	6.54		64.14	0.33	4.54	2.43	0.00	8.51	0.00	4.29	11.13	0.34	1.22	3.06
862.00	100.00	6.52		64.23	0.33	4.52	2.41	0.00	8.42	0.00	4.30	11.15	0.34	1.23	3.07
861.00	100.00	6.51		64.27	0.33	4.52	2.41	0.00	8.36	0.00	4.31	11.17	0.34	1.23	3.07
860.00	100.00	6.47		64.40	0.34	4.47	2.36	0.00	8.25	0.00	4.31	11.21	0.34	1.24	3.09
859.00	100.00	6.44		64.48	0.34	4.44	2.33	0.00	8.16	0.00	4.32	11.23	0.34	1.24	3.10
858.00	100.00	6.42		64.57	0.34	4.42	2.31	0.00	8.08	0.00	4.33	11.26	0.34	1.25	3.11
857.00	100.00	6.40		64.65	0.34	4.39	2.29	0.00	8.00	0.00	4.33	11.28	0.34	1.25	3.13
856.00	100.00	6.38		64.73	0.34	4.36	2.26	0.00	7.92	0.00	4.34	11.31	0.34	1.25	3.14
855.00	100.00	6.35		64.81	0.34	4.34	2.24	0.00	7.84	0.00	4.35	11.33	0.35	1.26	3.15
854.00	100.00	6.33		64.89	0.34	4.31	2.22	0.00	7.76	0.00	4.35	11.36	0.35	1.26	3.16
853.00	100.00	6.31		64.97	0.35	4.29	2.20	0.00	7.68	0.00	4.36	11.38	0.35	1.27	3.17
852.00	100.00	6.29		65.04	0.35	4.26	2.18	0.00	7.60	0.00	4.37	11.40	0.35	1.27	3.18
851.00	100.00	6.27		65.12	0.35	4.24	2.16	0.00	7.53	0.00	4.37	11.43	0.35	1.28	3.19
850.00	100.00	6.25		65.19	0.35	4.21	2.14	0.00	7.45	0.00	4.38	11.45	0.35	1.28	3.20
849.00	100.00	6.23		65.26	0.35	4.19	2.12	0.00	7.38	0.00	4.38	11.47	0.35	1.28	3.21
848.00	100.00	6.21		65.34	0.35	4.16	2.10	0.00	7.30	0.00	4.39	11.49	0.35	1.29	3.22
847.00	100.00	6.19		65.41	0.35	4.14	2.08	0.00	7.23	0.00	4.40	11.52	0.35	1.29	3.23
846.00	100.00	6.17		65.48	0.35	4.11	2.06	0.00	7.16	0.00	4.40	11.54	0.35	1.30	3.24
845.00	100.00	6.15		65.55	0.35	4.09	2.04	0.00	7.09	0.00	4.41	11.56	0.35	1.30	3.25
844.00	100.00	6.13		65.62	0.36	4.06	2.03	0.00	7.02	0.00	4.41	11.58	0.36	1.30	3.26
843.00	100.00	6.11		65.69	0.36	4.04	2.01	0.00	6.95	0.00	4.42	11.60	0.36	1.31	3.27
842.00	100.00	6.09		65.75	0.36	4.01	1.99	0.00	6.88	0.00	4.42	11.63	0.36	1.31	3.28
841.00	100.00	6.08		65.82	0.36	3.99	1.98	0.00	6.82	0.00	4.43	11.65	0.36	1.32	3.29
840.00	100.00	6.07		65.88	0.36	3.99	1.96	0.00	6.75	0.00	4.43	11.66	0.36	1.32	3.30
839.00	100.00	6.04		65.95	0.36	3.94	1.94	0.00	6.68	0.00	4.44	11.69	0.36	1.32	3.31
838.00	100.00	6.02		66.02	0.36	3.91	1.93	0.00	6.62	0.00	4.44	11.71	0.36	1.33	3.32
837.00	100.00	6.01		66.08	0.36	3.89	1.91	0.00	6.55	0.00	4.45	11.73	0.36	1.33	3.33
836.00	100.00	5.99		66.14	0.36	3.86	1.90	0.00	6.49	0.00	4.46	11.75	0.36	1.34	3.34
835.00	100.00	5.97		66.21	0.36	3.84	1.88	0.00	6.43	0.00	4.46	11.77	0.36	1.34	3.35
834.00	100.00	5.96		66.27	0.37	3.81	1.87	0.00	6.37	0.00	4.47	11.79	0.36	1.34	3.36
833.00	100.00	5.94		66.33	0.37	3.79	1.85	0.00	6.31	0.00	4.47	11.81	0.36	1.35	3.37
832.00	100.00	5.92		66.39	0.37	3.77	1.84	0.00	6.24	0.00	4.48	11.83	0.37	1.35	3.38
831.00	100.00	5.91		66.45	0.37	3.74	1.82	0.00	6.19	0.00	4.48	11.85	0.37	1.35	3.39
830.00	100.00	5.89		66.51	0.37	3.72	1.81	0.00	6.13	0.00	4.49	11.86	0.37	1.36	3.39
829.00	100.00	5.88		66.57	0.37	3.69	1.80	0.00	6.07	0.00	4.49	11.88	0.37	1.36	3.40
828.00	100.00	5.86		66.62	0.37	3.67	1.78	0.00	6.01	0.00	4.50	11.90	0.37	1.37	3.41
827.00	100.00	5.85		66.68	0.37	3.65	1.77	0.00	5.95	0.00	4.50	11.92	0.37	1.37	3.42
826.00	100.00	5.83		66.74	0.37	3.62	1.76	0.00	5.89	0.00	4.51	11.94	0.37	1.37	3.43
825.00	100.00	5.82		66.79	0.37	3.60	1.74	0.00	5.84	0.00	4.51	11.96	0.37	1.38	3.44
824.00	100.00	5.80		66.85	0.38	3.57	1.73	0.00	5.78	0.00	4.52	11.97	0.37	1.38	3.45
823.00	100.00	5.79		66.90	0.38	3.55	1.72	0.00	5.73	0.00	4.52	11.99	0.37	1.38	3.46
822.00	100.00	5.77		66.96	0.38	3.53	1.71	0.00	5.67	0.00	4.53	12.01	0.37	1.39	3.47
821.00	100.00	5.76		67.01	0.38	3.50	1.69	0.00	5.62	0.00	4.53	12.03	0.37	1.39	3.47
820.00	100.00	5.74		67.07	0.38	3.48	1.68	0.00	5.57	0.00	4.53	12.04	0.37	1.39	3.48
819.00	100.00	5.73		67.12	0.38	3.46	1.67	0.00	5.51	0.00	4.54	12.06	0.38	1.40	3.49
818.00	100.00	5.72		67.17	0.38	3.43	1.66	0.00	5.46	0.00	4.54	12.08	0.38	1.40	3.50
817.00	100.00	5.70		67.22	0.38	3.41	1.65	0.00	5.41	0.00	4.55	12.09	0.38	1.40	3.51
816.00	100.00	5.69		67.27	0.38	3.39	1.63	0.00	5.36	0.00	4.55	12.11	0.38	1.41	3.52
815.00	100.00	5.68		67.32	0.38	3.37	1.62	0.00	5.31	0.00	4.56	12.13	0.38	1.41	3.52
814.00	100.00	5.66		67.37	0.38	3.34	1.61	0.00	5.26	0.00	4.56	12.14	0.38	1.41	3.53
813.00	100.00	5.65		67.42	0.39	3.32	1.60	0.00	5.21	0.00	4.57	12.16	0.38	1.42	3.54
812.00	100.00	5.64		67.47	0.39	3.30	1.59	0.00	5.16	0.00	4.57	12.18	0.38	1.42	3.55
811.00	100.00	5.62		67.52	0.39	3.28	1.58	0.00	5.11	0.00	4.58	12.19	0.38	1.42	3.56
810.00	100.00	5.61		67.57	0.39	3.25	1.57	0.00	5.06	0.00	4.58	12.21	0.38	1.43	3.56
809.00	100.00	5.60		67.62	0.39	3.23	1.56	0.00	5.01	0.00	4.58	12.22	0.38	1.43	3.57
808.00	100.00	5.59		67.67	0.39	3.21	1.55	0.00	4.97	0.00	4.59	12.24	0.38	1.43	3.58
807.00	100.00	5.58		67.71	0.39	3.19	1.54	0.00	4.92	0.00	4.59	12.25	0.38	1.43	3.59
806.00	100.00	5.56		67.76	0.39	3.16	1.53	0.00	4.87	0.00	4.60	12.27	0.38	1.44	3.60
805.00	100.00	5.55		67.81	0.39	3.14	1.52	0.00	4.83	0.00	4.60	12.28	0.38	1.44	3.60
804.00	100.00	5.54		67.85	0.39	3.12	1.51	0.00	4.78	0.00	4.61	12.30	0.39	1.44	3.61
803.00	100.00	5.53		67.90	0.39	3.10	1.50	0.00	4.74	0.00	4.61	12.31	0.39	1.45	3.62
802.00	100.00	5.53		67.90	0.39	3.10	1.50	0.00	4.74	0.00	4.61	12.31	0.39	1.45	3.62
801.00	100.00	5.51		67.99	0.40	3.06	1.48	0.00	4.65	0.00	4.62	12.34	0.39	1.45	3.63
800.00	100.00	5.49		68.03	0.40	3.04	1.47	0.00	4.60	0.00	4.62	12.36	0.39	1.46	3.64
799.00	100.00	5.48		68.07	0.40	3.01	1.46	0.00	4.56	0.00	4.63	12.37	0.39	1.46	3.65
798.00	100.00	5.47		68.12	0.40	2.99	1.45	0.00	4.52	0.00	4.63	12.38	0.39	1.46	3.66
797.00	100.00	5.46		68.16	0.40	2.97	1.45	0.00	4.47	0.00	4.64	12.40	0.39	1.46	3.66
796.00	100.00	5.45		68.20	0.40	2.95	1.44	0.00	4.43	0.00	4.64	12.41	0.39	1.47	3.67
795.00	100.00	5.44		68.24	0.40	2.93	1.43	0.00	4.39	0.00	4.64	12.43	0.39	1.47	3.68
794.00	100.00	5.43		68.28	0.40	2.91	1.42	0.00	4.35	0.00	4.65	12.44	0.39	1.47	3.68
793.00	100.00	5.42		68.33	0.40	2.89	1.41	0.00	4.31	0.00	4.65	12.45	0.39	1.48	3.69
792.00	100.00	5.41		68.37	0.40	2.87	1.40	0.00	4.27	0.00	4.66	12.47	0.39	1.48	3.70
791.00	100.00	5.40		68.41	0.40	2.85	1.39	0.00	4.22	0.00	4.66	12.48	0.39	1.48	3.70
790.00	100.00	5.39		68.45	0.40	2.83	1.39	0.00	4.18	0.00	4.66	12.49	0.39	1.48	3.71
789.00	100.00	5.38		68.49	0.41	2.81	1.38	0.00	4.15	0.00	4.67	12.51	0.39	1.49	3.72
788.00	100.00	5.37		68.53	0.41	2.79	1.37	0.00	4.11	0.00	4.67	12.52	0.39	1.49	3.73
787.00	100.00	5.36		68.57	0.41	2.77	1.36	0.00	4.07	0.00	4.68	12.53	0.40	1.49	3.73
786.00	100.00	5.35		68.60	0.41	2.75	1.35	0.00	4.03	0.00	4.68	12.55	0.40	1.50	3.74
785.00	100.00	5.34		68.64	0.41	2.73	1.35	0.00	3.99	0.00	4.68	12.56	0.40	1.50	3.75
784.00	100.00	5.33		68.68	0.41	2.71	1.34	0.00	3.95	0.00	4.69	12.57	0.40	1.50	3.75
783.00	100.00	5.32		68.72	0.41	2.69	1.33	0.00	3.91	0.00	4.69	12.58	0.40	1.50	3.76
782.00	100.00	5.31		68.76	0.41	2.67	1.32	0.00	3.88	0.00	4.70	12.59	0.40	1.51	3.77
781.00	100.00	5.30		68.79	0.41	2.65	1.32	0.00	3.84	0.00	4.70	12.61	0.40	1.51	3.77
780.00	100.00	5.29		68.83	0.41	2.63	1.31	0.00	3.80	0.00	4.70	12.62	0.40	1.51	3.78
779.00	100.00	5.28		68.87	0.41	2.61	1.30	0.00	3.77	0.00	4.71	12.63	0.40	1.51	3.79
778.00	100.00	5.27		68.90	0.41	2.60	1.30	0.00	3.73	0.00	4.71	12.64	0.40	1.52	3.79
777.00	100.00	5.27		68.94	0.41	2.58	1.29	0.00	3.70	0.00	4.71	12.65	0.40	1.52	3.80
776.00	100.00	5.26		68.97	0.41	2.56	1.28	0.00	3.66	0.00	4.72	12.67	0.40	1.52	3.80
775.00	100.00	5.25		69.01	0.42	2.54	1.27	0.00	3.63	0.00	4.72	12.68	0.40	1.52	3.81
774.00	100.00	5.24		69.04	0.42	2.52	1.27	0.00	3.59	0.00	4.73	12.69	0.40	1.53	3.82
773.00	100.00	5.23		69.08	0.42	2.50	1.26	0.00	3.56	0.00	4.73	12.70	0.40	1.53	3.82
772.00	100.00	5.22		69.11	0.42	2.49	1.25	0.00	3.52	0.00	4.73	12.71	0.40	1.53	3.83
771.00	100.00	5.22		69.14	0.42	2.47	1.25	0.00	3.49	0.00	4.74	12.72	0.40	1.53	3.84
770.00	100.00	5.21		69.18	0.42	2.45	1.24	0.00	3.46	0.00	4.74	12.73	0.40	1.54	3.84
769.00	100.00	5.20		69.21	0.42	2.43	1.23	0.00	3.42	0.00	4.74	12.75	0.40	1.54	3.85
768.00	100.00	5.19		69.24	0.42	2.41	1.23	0.00	3.39	0.00	4.75	12.76	0.40	1.54	3.85
767.00	100.00	5.18		69.28	0.42	2.40	1.22	0.00	3.36	0.00	4.75	12.77	0.40	1.54	3.86
766.00	100.00	5.17		69.31	0.42	2.38	1.22	0.00	3.33	0.00	4.75	12.78	0.41	1.55	3.86
765.00	100.00	5.17		69.34	0.42	2.36	1.21	0.00	3.29	0.00	4.76	12.79	0.41	1.55	3.87
764.00	100.00	5.16		69.37	0.42	2.34	1.20	0.00	3.26	0.00	4.76	12.80	0.41	1.55	3.88
763.00	100.00	5.15		69.40	0.42	2.33	1.20	0.00	3.23	0.00	4.77	12.81	0.41	1.55	3.88
762.00	100.00	5.14		69.44	0.42	2.31	1.19	0.00	3.20	0.00	4.77	12.82	0.41	1.56	3.89
